sample_id,timestamp,front_shock [mm],front_shock_raw [counts],String pot [mm],String pot_raw [counts],mark
248,07:13:29.229,104.758026,1847.000000,-84.132935,2735.000000,0
249,07:13:29.231,104.758026,1847.000000,-84.675354,2763.000000,0
250,07:13:29.233,104.614815,1849.000000,-85.179024,2789.000000,0
251,07:13:29.235,104.758026,1847.000000,-85.566467,2809.000000,0
252,07:13:29.237,104.758026,1847.000000,-85.973282,2830.000000,0
253,07:13:29.239,104.758026,1847.000000,-86.418839,2853.000000,0
254,07:13:29.241,104.758026,1847.000000,-86.786903,2872.000000,0
255,07:13:29.243,104.686417,1848.000000,-87.232468,2895.000000,0
256,07:13:29.245,104.758026,1847.000000,-87.600533,2914.000000,0
257,07:13:29.247,104.758026,1847.000000,-87.929863,2931.000000,0
258,07:13:29.249,104.758026,1847.000000,-88.278557,2949.000000,0
259,07:13:29.251,104.758026,1847.000000,-88.588509,2965.000000,0
260,07:13:29.253,104.686417,1848.000000,-88.859718,2979.000000,0
261,07:13:29.255,104.758026,1847.000000,-89.053444,2989.000000,0
262,07:13:29.257,104.614815,1849.000000,-89.324646,3003.000000,0
263,07:13:29.259,104.686417,1848.000000,-89.595856,3017.000000,0
264,07:13:29.261,104.758026,1847.000000,-89.789581,3027.000000,0
265,07:13:29.263,104.758026,1847.000000,-89.905815,3033.000000,0
266,07:13:29.265,104.614815,1849.000000,-90.138275,3045.000000,0
267,07:13:29.267,104.758026,1847.000000,-90.196396,3048.000000,0
268,07:13:29.269,104.758026,1847.000000,-90.332001,3055.000000,0
269,07:13:29.271,104.758026,1847.000000,-90.409485,3059.000000,0
270,07:13:29.273,104.758026,1847.000000,-90.486977,3063.000000,0
271,07:13:29.275,104.758026,1847.000000,-90.525719,3065.000000,0
272,07:13:29.277,104.758026,1847.000000,-90.525719,3065.000000,0
273,07:13:29.279,104.686417,1848.000000,-90.583832,3068.000000,0
274,07:13:29.281,104.758026,1847.000000,-90.564461,3067.000000,0
275,07:13:29.283,104.758026,1847.000000,-90.525719,3065.000000,0
276,07:13:29.285,104.686417,1848.000000,-90.525719,3065.000000,0
277,07:13:29.287,104.758026,1847.000000,-90.448227,3061.000000,0
278,07:13:29.289,104.686417,1848.000000,-90.332001,3055.000000,0
279,07:13:29.291,104.758026,1847.000000,-90.235138,3050.000000,0
280,07:13:29.293,104.758026,1847.000000,-90.099533,3043.000000,0
281,07:13:29.295,104.758026,1847.000000,-89.925186,3034.000000,0
282,07:13:29.297,104.758026,1847.000000,-89.808952,3028.000000,0
283,07:13:29.299,104.686417,1848.000000,-89.576485,3016.000000,0
284,07:13:29.301,104.758026,1847.000000,-89.285904,3001.000000,0
285,07:13:29.303,104.758026,1847.000000,-89.053444,2989.000000,0
286,07:13:29.305,104.758026,1847.000000,-88.782234,2975.000000,0
287,07:13:29.307,104.686417,1848.000000,-88.549767,2963.000000,0
288,07:13:29.309,104.758026,1847.000000,-88.162323,2943.000000,0
289,07:13:29.311,104.758026,1847.000000,-87.852371,2927.000000,0
290,07:13:29.313,104.758026,1847.000000,-87.523048,2910.000000,0
291,07:13:29.315,104.686417,1848.000000,-87.174347,2892.000000,0
292,07:13:29.317,104.614815,1849.000000,-86.767532,2871.000000,0
293,07:13:29.319,104.758026,1847.000000,-86.380096,2851.000000,0
294,07:13:29.321,104.758026,1847.000000,-85.973282,2830.000000,0
295,07:13:29.323,104.758026,1847.000000,-85.488976,2805.000000,0
296,07:13:29.325,104.686417,1848.000000,-85.024048,2781.000000,0
297,07:13:29.327,104.758026,1847.000000,-84.636604,2761.000000,0
298,07:13:29.329,104.758026,1847.000000,-84.055443,2731.000000,0
299,07:13:29.331,104.758026,1847.000000,-83.590515,2707.000000,0
300,07:13:29.333,104.758026,1847.000000,-83.048096,2679.000000,0
301,07:13:29.335,104.686417,1848.000000,-82.505676,2651.000000,0
302,07:13:29.337,104.829628,1846.000000,-82.040749,2627.000000,0
303,07:13:29.339,104.758026,1847.000000,-81.420845,2595.000000,0
304,07:13:29.341,104.686417,1848.000000,-80.878426,2567.000000,0
305,07:13:29.343,104.686417,1848.000000,-80.219772,2533.000000,0
306,07:13:29.345,104.758026,1847.000000,-79.657982,2504.000000,0
307,07:13:29.347,104.758026,1847.000000,-79.076820,2474.000000,0
308,07:13:29.349,104.758026,1847.000000,-78.437538,2441.000000,0
309,07:13:29.351,104.758026,1847.000000,-77.837006,2410.000000,0
310,07:13:29.353,104.758026,1847.000000,-77.236473,2379.000000,0
311,07:13:29.355,104.758026,1847.000000,-76.539078,2343.000000,0
312,07:13:29.357,104.758026,1847.000000,-75.957916,2313.000000,0
313,07:13:29.359,104.829628,1846.000000,-75.241150,2276.000000,0
314,07:13:29.361,104.758026,1847.000000,-74.524384,2239.000000,0
315,07:13:29.363,104.758026,1847.000000,-73.846359,2204.000000,0
316,07:13:29.365,104.686417,1848.000000,-73.110222,2166.000000,0
317,07:13:29.367,104.758026,1847.000000,-72.412827,2130.000000,0
318,07:13:29.369,104.758026,1847.000000,-71.637939,2090.000000,0
319,07:13:29.371,104.758026,1847.000000,-70.804947,2047.000000,0
320,07:13:29.373,104.758026,1847.000000,-70.030060,2007.000000,0
321,07:13:29.375,104.758026,1847.000000,-69.255180,1967.000000,0
322,07:13:29.377,104.758026,1847.000000,-68.325317,1919.000000,0
323,07:13:29.379,104.758026,1847.000000,-67.589180,1881.000000,0
324,07:13:29.381,104.758026,1847.000000,-66.698059,1835.000000,0
325,07:13:29.383,104.901237,1845.000000,-65.729462,1785.000000,0
326,07:13:29.385,104.758026,1847.000000,-64.896461,1742.000000,0
327,07:13:29.387,104.758026,1847.000000,-63.927856,1692.000000,0
328,07:13:29.389,104.758026,1847.000000,-62.997997,1644.000000,0
329,07:13:29.391,104.758026,1847.000000,-62.087509,1597.000000,0
330,07:13:29.393,104.758026,1847.000000,-61.235138,1553.000000,0
331,07:13:29.395,104.758026,1847.000000,-60.247162,1502.000000,0
332,07:13:29.397,104.758026,1847.000000,-59.297928,1453.000000,0
333,07:13:29.399,104.758026,1847.000000,-58.368069,1405.000000,0
334,07:13:29.401,104.758026,1847.000000,-57.535069,1362.000000,0
335,07:13:29.403,104.686417,1848.000000,-56.508350,1309.000000,0
336,07:13:29.405,104.686417,1848.000000,-55.578491,1261.000000,0
337,07:13:29.407,104.686417,1848.000000,-54.571144,1209.000000,0
338,07:13:29.409,104.758026,1847.000000,-53.660656,1162.000000,0
339,07:13:29.411,104.686417,1848.000000,-52.633934,1109.000000,0
340,07:13:29.413,104.686417,1848.000000,-51.704075,1061.000000,0
341,07:13:29.415,104.758026,1847.000000,-50.580494,1003.000000,0
342,07:13:29.417,104.758026,1847.000000,-49.611889,953.000000,0
343,07:13:29.419,104.758026,1847.000000,-48.643288,903.000000,0
344,07:13:29.421,104.829628,1846.000000,-47.519707,845.000000,0
345,07:13:29.423,104.758026,1847.000000,-46.473614,791.000000,0
346,07:13:29.425,104.758026,1847.000000,-45.350033,733.000000,0
347,07:13:29.427,104.758026,1847.000000,-44.265198,677.000000,0
348,07:13:29.429,104.758026,1847.000000,-43.180359,621.000000,0
349,07:13:29.431,104.758026,1847.000000,-42.095524,565.000000,0
350,07:13:29.433,104.758026,1847.000000,-40.952572,506.000000,0
351,07:13:29.435,104.758026,1847.000000,-39.790249,446.000000,0
352,07:13:29.437,104.758026,1847.000000,-38.802273,395.000000,0
353,07:13:29.439,104.686417,1848.000000,-37.717434,339.000000,0
354,07:13:29.441,104.686417,1848.000000,-36.632599,283.000000,0
355,07:13:29.443,104.758026,1847.000000,-35.586506,229.000000,0
356,07:13:29.445,104.758026,1847.000000,-34.443554,170.000000,0
357,07:13:29.447,104.758026,1847.000000,-33.416832,117.000000,0
358,07:13:29.449,104.758026,1847.000000,-32.235138,56.000000,0
359,07:13:29.451,104.758026,1847.000000,-31.266533,6.000000,0
360,07:13:29.453,104.758026,1847.000000,-31.130928,4095.000000,0
361,07:13:29.455,104.758026,1847.000000,-31.130928,4095.000000,0
362,07:13:29.457,104.758026,1847.000000,-30.704742,4073.000000,0
363,07:13:29.459,104.758026,1847.000000,-28.457582,3957.000000,0
364,07:13:29.461,104.758026,1847.000000,-26.442886,3853.000000,0
365,07:13:29.463,104.758026,1847.000000,-24.583166,3757.000000,0
366,07:13:29.465,104.686417,1848.000000,-22.742819,3662.000000,0
367,07:13:29.467,104.614815,1849.000000,-20.999332,3572.000000,0
368,07:13:29.469,104.758026,1847.000000,-19.352705,3487.000000,0
369,07:13:29.471,104.758026,1847.000000,-17.957916,3415.000000,0
370,07:13:29.473,104.758026,1847.000000,-16.485638,3339.000000,0
371,07:13:29.475,104.758026,1847.000000,-15.187709,3272.000000,0
372,07:13:29.477,104.686417,1848.000000,-13.754175,3198.000000,0
373,07:13:29.479,104.758026,1847.000000,-12.475618,3132.000000,0
374,07:13:29.481,104.686417,1848.000000,-11.235805,3068.000000,0
375,07:13:29.483,104.758026,1847.000000,-9.957248,3002.000000,0
376,07:13:29.485,104.758026,1847.000000,-8.775551,2941.000000,0
377,07:13:29.487,104.758026,1847.000000,-7.710087,2886.000000,0
378,07:13:29.489,104.686417,1848.000000,-6.489646,2823.000000,0
379,07:13:29.491,104.686417,1848.000000,-5.346694,2764.000000,0
380,07:13:29.493,104.758026,1847.000000,-4.164997,2703.000000,0
381,07:13:29.495,104.758026,1847.000000,-3.080160,2647.000000,0
382,07:13:29.497,104.686417,1848.000000,-1.995324,2591.000000,0
383,07:13:29.499,104.758026,1847.000000,-0.910488,2535.000000,0
384,07:13:29.501,104.758026,1847.000000,0.058116,2485.000000,0
385,07:13:29.503,104.614815,1849.000000,1.181697,2427.000000,0
386,07:13:29.505,104.758026,1847.000000,2.130929,2378.000000,0
387,07:13:29.507,104.686417,1848.000000,3.118905,2327.000000,0
388,07:13:29.509,104.758026,1847.000000,4.087508,2277.000000,0
389,07:13:29.511,104.686417,1848.000000,5.036740,2228.000000,0
390,07:13:29.513,104.614815,1849.000000,6.102204,2173.000000,0
391,07:13:29.515,104.686417,1848.000000,7.012692,2126.000000,0
392,07:13:29.517,104.758026,1847.000000,8.039412,2073.000000,0
393,07:13:29.519,104.758026,1847.000000,9.046761,2021.000000,0
394,07:13:29.521,104.758026,1847.000000,10.015364,1971.000000,0
395,07:13:29.523,104.758026,1847.000000,11.138945,1913.000000,0
396,07:13:29.525,104.758026,1847.000000,12.068805,1865.000000,0
397,07:13:29.527,104.758026,1847.000000,13.114897,1811.000000,0
398,07:13:29.529,104.614815,1849.000000,14.160989,1757.000000,0
399,07:13:29.531,104.758026,1847.000000,15.187709,1704.000000,0
