sample_id,timestamp,i2c_stringpot_raw [counts],i2c_stringpot [mm],mark
3189,00:51:29.476,1094.000000,52.342911,0
3190,00:51:29.478,1549.000000,46.778419,0
3191,00:51:29.480,2051.000000,40.639133,0
3192,00:51:29.482,2606.000000,33.851677,0
3193,00:51:29.484,3116.000000,27.614555,0
3194,00:51:29.486,3657.000000,20.998314,0
3195,00:51:29.488,130.000000,14.039641,0
3196,00:51:29.490,410.000000,10.615338,0
3197,00:51:29.492,1102.000000,2.152419,0
3198,00:51:29.494,1539.000000,-3.191939,0
3199,00:51:29.496,1883.000000,-7.398940,0
3200,00:51:29.498,2201.000000,-11.287970,0
3201,00:51:29.500,2425.000000,-14.027411,0
3202,00:51:29.502,2526.000000,-15.262607,0
3203,00:51:29.504,2658.000000,-16.876921,0
3204,00:51:29.506,2665.000000,-16.962528,0
3205,00:51:29.508,2643.000000,-16.693476,0
3206,00:51:29.510,2467.000000,-14.541057,0
3207,00:51:29.512,2260.000000,-12.009519,0
3208,00:51:29.514,2101.000000,-10.065004,0
3209,00:51:29.516,1634.000000,-4.353756,0
3210,00:51:29.518,1236.000000,0.513645,0
3211,00:51:29.520,748.000000,6.481716,0
3212,00:51:29.522,251.000000,12.559853,0
3213,00:51:29.524,4037.000000,16.351046,0
3214,00:51:29.526,3257.000000,25.890175,0
3215,00:51:29.528,2715.000000,32.518646,0
3216,00:51:29.530,2408.000000,36.273148,0
3217,00:51:29.532,1677.000000,45.213024,0
3218,00:51:29.534,1210.000000,50.924274,0
3219,00:51:29.536,756.000000,56.476536,0
3220,00:51:29.538,443.000000,60.304417,0
3221,00:51:29.540,122.000000,64.230133,0
3222,00:51:29.542,4015.000000,66.712753,0
3223,00:51:29.544,3911.000000,67.984634,0
3224,00:51:29.546,3902.000000,68.094704,0
3225,00:51:29.548,3993.000000,66.981804,0
3226,00:51:29.550,106.000000,64.425812,0
3227,00:51:29.552,406.000000,60.756912,0
3228,00:51:29.554,761.000000,56.415386,0
3229,00:51:29.556,1200.000000,51.046570,0
3230,00:51:29.558,1665.000000,45.359779,0
3231,00:51:29.560,2178.000000,39.085968,0
3232,00:51:29.562,2825.000000,31.173384,0
3233,00:51:29.564,3279.000000,25.621122,0
3234,00:51:29.566,3851.000000,18.625761,0
3235,00:51:29.568,324.000000,11.667089,0
3236,00:51:29.570,821.000000,5.588951,0
3237,00:51:29.572,1255.000000,0.281282,0
3238,00:51:29.574,1670.000000,-4.794024,0
3239,00:51:29.576,1996.000000,-8.780890,0
3240,00:51:29.578,2276.000000,-12.205194,0
3241,00:51:29.580,2489.000000,-14.810109,0
